產品代碼,成分1,成分2,成分3,成分4,成分5,成分6,成分7,成分8,成分9,成分10,成分11,成分12,成分13,成分14,成分15
FM1,新鮮去骨雞肉(30%),脫水雞肉(28%),地瓜,雞脂肪,乾燥全蛋,新鮮魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
FM2,去骨鴨肉(30%),脱水鴨肉(28%),豆澱粉,雞脂肪,乾燥南瓜(5%),乾燥雞蛋,新鮮魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
FM4,新鮮去骨羊肉(28%),脫水羊肉(26%),地瓜,雞脂肪,乾燥全蛋,新鲜魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
FM6,新鮮去骨雞肉(30%),脫水雞肉(28%),地瓜,雞脂肪,乾燥全蛋,新鲜魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
FS1,玉米麩,家禽肉,米,玉米粉,動物脂肪,水解動物蛋白,蔬菜纖維,甜菜泥,果寡糖,魚油,大豆油,蛋粉,蛋胺酸,水解甲殼素,牛磺酸
FUS1,精選玉米,糙米,雞肉粉,魚粉,珍珠大麥,番茄,甜菜,家禽脂肪,酵母粉,絲蘭精華,牛磺酸,綜合維他命,綜合礦物質,天然香料,
FUS2,精選玉米,糙米,雞肉粉,魚粉,珍珠大麥,珍珠大麥,乾甜菜,家禽脂肪,酵母粉,乾燥全蛋,絲蘭精華,牛磺酸,綜合維他命,綜合礦物質,天然香料
FUS3,精選玉米,糙米,水解胜肽蛋白,牛肉粉,雞肉粉,魚粉,珍珠大麥,番茄,甜菜,家禽脂肪,酵母粉,乾燥全蛋,絲蘭精華,牛磺酸,綜合維他命
FUS4,精選玉米,糙米,雞肉粉,水解胜肽蛋白,魚粉,珍珠大麥,番茄,甜菜,家禽脂肪,酵母粉,乾燥全蛋,絲蘭精華,牛磺酸,綜合維他命,綜合礦物質
GO1,去骨鮭魚,鮭魚粉,豌豆,扁豆,乾燥全蛋,馬鈴薯,雞肉脂肪,天然香料,去骨鱒魚,木薯,鮭魚油,乾燥菊苣根,蔓越莓,蘋果,
GO2,去骨鴨肉,鴨肉粉,乾燥全蛋,豌豆,扁豆,豌豆粉,木薯粉,雞肉脂肪,亞麻籽,天然香料,氯化鈉,碳酸鈣,乾燥菊苣根,磷酸,氯化膽鹼
GO3,雞肉粉,去骨雞肉,全粒糙米,全粒白米,蒸麥粉,雞肉脂肪(以天然混合生育酚保存),鮭魚粉,天然雞肉香料,蔓越莓,亞麻籽,乾燥全蛋,鮭魚油,紫花苜蓿,"益生菌(乾燥嗜酸乳桿菌發酵物,益生菌(乾燥腸球菌發物)","維生素(A,D3,E,B3,C,B1,B5,B2,B6,H,B12)"
GO4,羊肉35%（羊肉、羊肝）,羊骨高湯,野豬15%（野豬、野豬肝）,雞肉15%（雞肉、雞肝）,馬鈴薯,南瓜,蔓越莓,紅椒,乾燥蛋白粉,亞麻籽,鮭魚油,薑黃,絲蘭精華,維他命D3,牛磺酸
GO5,雞肉35%（雞肉、雞肝）,雞骨高湯,火雞15%（火雞、火雞肝）,鴨肉15%,馬鈴薯,南瓜,蔓越莓,亞麻籽,鮭魚油,乾燥蛋白粉,絲蘭萃取物,維他命D3,牛磺酸,碘酸鈣結晶,硫酸銅
GO6,羊肉,雞肉,雞湯,火雞湯,雞肝,野豬,木薯,豬血漿,乾燥蛋清,亞麻籽,南瓜,蔓越莓,魚油,維生素,礦物質
IT1,豆腐渣,澱粉,檸檬酸,碳酸鈣,,,,,,,,,,,
IT2,豆腐渣,澱粉,檸檬酸,碳酸鈣,,,,,,,,,,,
JN1,鯖魚,沙丁魚,白帶魚,蝦子,水,凝膠粉,維生素,礦物質,染色劑,,,,,,
JN2,紅鮪魚,雞肉,水,凝膠粉,維生素,礦物質,染色劑,,,,,,,,
JN3,紅鮪魚,沙丁魚,水,凝膠粉,維生素,礦物質,染色劑,,,,,,,,
JN4,紅鮪魚,水,凝膠粉,維生素,礦物質,染色劑,,,,,,,,,
K91,牛心,鱈魚,牛肉,牛腎,牛肝,牛血,葵花籽油,亞麻籽殻,紐西蘭緣唇貝,乾海藻,牛磺酸,"維生素(E,B1,D3)",鋅蛋白,礦物質,葉酸
K92,羊心,鱈魚,羊肉,羊腎,羊肝,羊血,亞麻籽殻,紐西蘭緣唇貝,乾海藻,牛磺酸,"維生素(E,B1,D3)",鋅蛋白,礦物質,葉酸,
K96,牛肉,紐西蘭純水,牛肚,牛心,牛腎,牛肝,牛脾,牛血,紐西蘭緣唇貝,乾海藻,牛磺酸,"維生素(E,B1,D3)",鋅蛋白,礦物質,葉酸
K98,雞肉,羊心,紐西蘭純水,羊腎,羊肝,羊血,亞麻籽殼,紐西蘭緣唇貝,乾海藻,牛磺酸,"維生素(E,B1,D3)",鋅蛋白,礦物質,葉酸,
LC1,去骨袋鼠肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
LC2,去骨鹿肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
LC3,去骨羊肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
LC4,去骨牛肉,水,羊內臟,綠唇貽貝,乾燥酵母,決明子膠,胡蘿蔔纖維,鮭魚油,碳酸鈣,洋菜膠,瓜爾豆膠,氯化鉀,氯化膽鹼,牛磺酸,鐵蛋白
LIS1,鮪魚,鰹魚,魚類萃取物,調味料,增稠劑,,,,,,,,,,
LIS2,鮪魚,鰹魚,魚類萃取物,柴魚片,調味料,增稠劑,,,,,,,,,
LIS3,鮪魚,鰹魚,魚類萃取物,吻仔魚,調味料,增稠劑,,,,,,,,,
LIS4,鮪魚,鰹魚,魚類萃取物,雞胸肉,調味料,增稠劑,,,,,,,,,
MIX1,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,小魚乾,鰹魚,鰹魚,國產蔬菜,牛磺酸
MIX2,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,蝦仁,鰹魚,鰹魚,國產蔬菜,牛磺酸
MIX3,雞肉絨,鱈魚肉絨,豌豆,地瓜,家禽油脂,乾燥甜菜,乾燥蕃茄,乾燥海藻,乾燥全蛋,酵母粉,櫻花蝦,鰹魚,鰹魚,國產蔬菜,牛磺酸
MP1,穀類,肉類,豆粨,動物性脂肪,水解蛋白,鮪魚肉蓉,魚類,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素
MP2,穀類,肉類,豆粨,動物性脂肪,纖維素,水解蛋白,魚類,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素
MP3,穀類,肉類,豆粨,動物性脂肪,魚類,水解蛋白,蛋,馬鈴薯,乳類,蔬菜粉,綜合礦物質,綜合維生素,牛磺酸,食用色素,
MP4,雞肉蓉,雞肉,小麥麩質,肉類副產物（豬）,肝臟（豬）,番茄,胡蘿蔔,火雞,修飾玉米澱粉,菠菜,大豆粉,甘胺酸,礦物質（氯化鉀、硫酸鋅、硫酸亞鐵、硫酸錳、硫酸銅、碘化鉀）,牛磺酸,維生素（B1、E、菸鹼酸、本多酸鈣、A、K3、B6、B2、B12、生物素、葉酸、D3）
NKo1,水,鮪魚,蝦子,魚高湯,,,,,,,,,,,
NKo2,水,鮪魚,雞肉,魚高湯,,,,,,,,,,,
NKo3,水,鮪魚,柴魚,魚高湯,,,,,,,,,,,
NKo4,水,鮪魚,吻仔魚,魚高湯,,,,,,,,,,,
NOW1,去骨火雞肉,乾燥全蛋,豌豆,馬鈴薯,馬鈴薯粉,豌豆粉,天然香料,加拿大芥花籽油（以天然混合生育酚混合保存）,亞麻籽,椰子油（以天然混合生育酚混合保存）,去骨鮭魚肉,去骨鴨肉,益生菌（乾燥嗜酸乳桿菌發酵物、乾燥腸球菌發酵物）,維生素(維生素A、泛酸鈣、β-胡蘿蔔素、核黃素、維生素B6、維生素B12、維生素D3、葉酸）,礦物質（鋅蛋白、硫酸亞鐵、氧化鋅、鐵蛋白、硫酸銅、亞硒酸鈉、銅蛋白、錳蛋白、氧化錳、碘酸鈣)
NOW2,去骨火雞肉,馬鈴薯,豌豆,豌豆纖維,馬鈴薯粉,乾燥全蛋,天然香料,亞麻籽,加拿大芥花油（由天然混合生育酚混合保存）,去骨鮭魚肉,去骨鴨肉,紫芽苜蓿,益生菌（乾燥嗜酸乳桿菌發酵物、乾燥腸球菌發酵物）,維生素(維生素A、泛酸鈣、β-胡蘿蔔素、核黃素、維生素B6、維生素B12、維生素D3、葉酸）,礦物質（鋅蛋白、硫酸亞鐵、氧化鋅、鐵蛋白、硫酸銅、亞硒酸鈉、銅蛋白、錳蛋白、氧化錳、碘酸鈣)
QP1,天然松木,,,,,,,,,,,,,,
SH1,鮪魚,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,,
SH2,鮪魚,吻仔魚,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
SH3,鮪魚,蝦,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
SH4,鮪魚,雞肉,米,天然萃取蔬果膠質,蛋白質,粗脂肪,粗纖維,粗灰份,水,維生素A,維生素E,牛磺酸,,,
SIN1,凝結芽孢桿菌,枯草芽孢桿菌,果寡糖,維生素A,維生素D,維生素B1,維生素B2,維生素B6,,,,,,,
SIN2,牛磺酸,膠原蛋白,維生素(A、B1、B2、B6),DHA,海藻粉,,,,,,,,,,
SIN3,麥芽萃取,小麥胚芽油,麥苗粉,,,,,,,,,,,,
SIN5,凝結芽孢桿菌,磷酸氫鈣,維生素D3,,,,,,,,,,,,
SIN6,乙醯葡萄糖胺,B-葡聚醣,色胺酸,GABA,蔓越莓,西番蓮花,南瓜籽,,,,,,,,
SIN9,脫水鴨肉,新鮮去皮鴨肉,新鮮羊肉,馬鈴薯原粒,豌豆,雞脂（以維生素E及迷迭香混合作為天然保鮮原料）,亞麻籽,卵磷脂,亞麻籽,菊苣根（FOS主要來源）,酵母提取物（MOS主要來源）,維生素(維生素A、維生素D3、維生素E、維生素B1、維生素B2、維生素B12),生物素,泛酸,葉酸
Sup1,水,鯖魚,鮪魚肉,南瓜,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,鮪魚油,鹽,牛磺酸,,,
Sup2,水,鯖魚,鮪魚肉,紅蘿蔔,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,葡萄糖胺,鹽,牛磺酸,,,
Sup3,水,鯖魚,鮪魚肉,豌豆蛋白,鮮蝦,蟹肉,鮪魚萃取物,維他命,礦物質,大豆油,益生菌,鹽,牛磺酸,,
Sup4,水,雞肉,鮪魚肉,南瓜,豌豆蛋白,鮪魚萃取物,維他命,礦物質,大豆油,鹽,牛磺酸,絲蘭萃取物,綠茶,,
WJ1,特選上等海鮮魚類,沙丁魚,蔬菜膠,蔬菜油,食用色素,必需維生素,礦物質,,,,,,,,
WJ2,特選上等海鮮魚類,沙丁魚,蔬菜膠,蔬菜油,食用色素,必需維生素,礦物質,,,,,,,,
